"comment","length","nefe","mfei1","mfei2","mfei3","mfei4","tot_bases","n_stems","n_loops","dP","dG","diff","gccontent","aa","ac","ag","au","ca","cc","cg","cu","ga","gc","gg","gu","ua","uc","ug","uu"
"random_seq_from_cds__NO_70304",98,-0.310612244897959,-0.421428571428571,-0.0501700680272109,-0.0752551020408163,-0.301020408163265,98,6,4,1,-0.301020408163265,0.00959183673469388,0.714285714285714,0.0412371134020619,0.0721649484536082,0.11340206185567,0.0103092783505155,0.11340206185567,0.0618556701030928,0.0618556701030928,0.0515463917525773,0.0721649484536082,0.0824742268041237,0.123711340206186,0.0515463917525773,0.0103092783505155,0.0721649484536082,0.0309278350515464,0.0309278350515464
"random_seq_from_cds__NO_62975",89,-0.433033707865169,-0.494787253637871,-0.101966292134831,-0.203932584269663,-0.407865168539326,89,4,2,1,-0.407865168539326,0.0251685393258427,0.824324324324324,0.0227272727272727,0.0113636363636364,0.0681818181818182,0.0340909090909091,0.0681818181818182,0.0795454545454545,0.0454545454545455,0.0909090909090909,0.0340909090909091,0.136363636363636,0.204545454545455,0.0340909090909091,0.0113636363636364,0.0568181818181818,0.0909090909090909,0.0113636363636364
"random_seq_from_cds__NO_53137",75,-0.341466666666667,-0.383547169811321,-0.0460952380952381,-0.0806666666666667,-0.322666666666667,75,7,4,1,-0.322666666666667,0.0188,0.841269841269841,0,0.027027027027027,0.0945945945945946,0.0135135135135135,0.0675675675675676,0.162162162162162,0.0675675675675676,0.135135135135135,0.0540540540540541,0.175675675675676,0.027027027027027,0.0135135135135135,0.0135135135135135,0.0675675675675676,0.0810810810810811,0
"random_seq_from_cds__NO_70302",80,-0.33425,-0.444095744680851,-0.0527083333333333,-0.06325,-0.31625,80,6,5,1,-0.31625,0.018,0.712121212121212,0.0506329113924051,0.0632911392405063,0.113924050632911,0.0126582278481013,0.0759493670886076,0.0632911392405063,0.0379746835443038,0.10126582278481,0.10126582278481,0.0886075949367089,0.113924050632911,0.0126582278481013,0.0126582278481013,0.0632911392405063,0.0379746835443038,0.0506329113924051
"random_seq_from_cds__NO_56788",84,-0.31,-0.377840909090909,-0.0729166666666667,-0.0972222222222222,-0.291666666666667,84,4,3,1,-0.291666666666667,0.0183333333333333,0.771929824561403,0.0240963855421687,0.036144578313253,0.0481927710843374,0.0481927710843374,0.072289156626506,0.0481927710843374,0.0602409638554217,0.0843373493975904,0.0602409638554217,0.072289156626506,0.0602409638554217,0.0602409638554217,0,0.108433734939759,0.0963855421686747,0.120481927710843
"random_seq_from_cds__NO_43788",97,-0.279072164948454,-0.357097541633624,-0.0349042709867452,-0.0407216494845361,-0.244329896907216,97,7,6,1,-0.244329896907216,0.0347422680412371,0.684210526315789,0.03125,0.03125,0.09375,0.0833333333333333,0.09375,0.09375,0.0208333333333333,0.0520833333333333,0.09375,0.0833333333333333,0.0833333333333333,0.0208333333333333,0.03125,0.0416666666666667,0.0833333333333333,0.0625
"random_seq_from_cds__NO_43787",87,-0.197471264367816,-0.282840722495895,-0.0261083743842365,-0.0456896551724138,-0.182758620689655,87,7,4,1,-0.182758620689655,0.0147126436781609,0.646153846153846,0.0930232558139535,0.0930232558139535,0.0232558139534884,0.0581395348837209,0.116279069767442,0.116279069767442,0,0.0813953488372093,0.0581395348837209,0.0465116279069767,0.0348837209302326,0.0348837209302326,0,0.0465116279069767,0.116279069767442,0.0813953488372093
"random_seq_from_cds__NO_71827",94,-0.331489361702128,-0.429787234042553,-0.064468085106383,-0.107446808510638,-0.322340425531915,94,5,3,1,-0.322340425531915,0.00914893617021278,0.75,0.021505376344086,0.043010752688172,0.0967741935483871,0.032258064516129,0.0645161290322581,0.0752688172043011,0.0537634408602151,0.0752688172043011,0.10752688172043,0.043010752688172,0.129032258064516,0.0645161290322581,0.010752688172043,0.0967741935483871,0.0645161290322581,0.021505376344086
"random_seq_from_cds__NO_23855",81,-0.437530864197531,-0.554732510288066,-0.138683127572016,-0.138683127572016,-0.416049382716049,81,3,3,1,-0.416049382716049,0.0214814814814814,0.75,0.0375,0.0625,0.1,0.025,0.0625,0.1,0.075,0.0375,0.1125,0.1,0.1375,0.0375,0.0125,0.0125,0.0875,0
"random_seq_from_cds__NO_19747",82,-0.258170731707317,-0.333997620464009,-0.0343205574912892,-0.0600609756097561,-0.240243902439024,82,7,4,1,-0.240243902439024,0.0179268292682927,0.719298245614035,0.0617283950617284,0.0493827160493827,0.0493827160493827,0.037037037037037,0.0617283950617284,0.0740740740740741,0,0.0987654320987654,0.037037037037037,0.0617283950617284,0.0987654320987654,0.0617283950617284,0.0246913580246914,0.0493827160493827,0.123456790123457,0.111111111111111
"random_seq_from_cds__NO_18216",81,-0.371975308641975,-0.409852801519468,-0.0698765432098765,-0.116460905349794,-0.349382716049383,81,5,3,1,-0.349382716049383,0.0225925925925926,0.852459016393443,0,0.0125,0.0625,0.0375,0.0125,0.075,0.0375,0.1375,0.0875,0.125,0.1,0.0625,0.0125,0.05,0.175,0.0125
"random_seq_from_cds__NO_71829",78,-0.317435897435897,-0.376362179487179,-0.0740384615384615,-0.0740384615384615,-0.296153846153846,78,4,4,1,-0.296153846153846,0.0212820512820513,0.786885245901639,0.012987012987013,0.012987012987013,0.0909090909090909,0.051948051948052,0.0649350649350649,0.051948051948052,0.038961038961039,0.051948051948052,0.0649350649350649,0.103896103896104,0.155844155844156,0.0779220779220779,0.012987012987013,0.038961038961039,0.12987012987013,0.038961038961039
"random_seq_from_cds__NO_19744",71,-0.260140845070423,-0.335176056338028,-0.117605633802817,-0.117605633802817,-0.235211267605634,71,2,2,1,-0.235211267605634,0.0249295774647887,0.701754385964912,0.0428571428571429,0.0571428571428571,0.114285714285714,0.0285714285714286,0.114285714285714,0.0571428571428571,0.0142857142857143,0.0428571428571429,0.0857142857142857,0.0571428571428571,0.114285714285714,0.0714285714285714,0,0.0571428571428571,0.0857142857142857,0.0571428571428571
"random_seq_from_cds__NO_37524",85,-0.285411764705882,-0.424575163398693,-0.0682352941176471,-0.0682352941176471,-0.272941176470588,85,4,4,1,-0.272941176470588,0.0124705882352941,0.642857142857143,0.107142857142857,0.0357142857142857,0.0714285714285714,0.0833333333333333,0.119047619047619,0.130952380952381,0.0238095238095238,0.0476190476190476,0.0595238095238095,0.0595238095238095,0.0595238095238095,0.0357142857142857,0.0119047619047619,0.0833333333333333,0.0595238095238095,0.0119047619047619
"random_seq_from_cds__NO_49954",73,-0.383835616438356,-0.487671232876712,-0.0914383561643836,-0.182876712328767,-0.365753424657534,73,4,2,1,-0.365753424657534,0.0180821917808219,0.75,0.0416666666666667,0.0138888888888889,0.125,0.0277777777777778,0.0833333333333333,0.0833333333333333,0,0.111111111111111,0.0833333333333333,0.0972222222222222,0.111111111111111,0.0416666666666667,0,0.0972222222222222,0.0833333333333333,0
"random_seq_from_cds__NO_18212",84,-0.227261904761905,-0.335185185185185,-0.0359126984126984,-0.0430952380952381,-0.21547619047619,84,6,5,1,-0.21547619047619,0.0117857142857143,0.642857142857143,0.0843373493975904,0.036144578313253,0.072289156626506,0.0481927710843374,0.0481927710843374,0.036144578313253,0.0120481927710843,0.108433734939759,0.0602409638554217,0.036144578313253,0.0602409638554217,0.072289156626506,0.0481927710843374,0.0963855421686747,0.0843373493975904,0.0963855421686747
"random_seq_from_cds__NO_49955",85,-0.363176470588235,-0.480305010893246,-0.0888235294117647,-0.11843137254902,-0.355294117647059,85,4,3,1,-0.355294117647059,0.00788235294117651,0.73972602739726,0.0595238095238095,0.0357142857142857,0.119047619047619,0.0119047619047619,0.0952380952380952,0.154761904761905,0.0357142857142857,0.0595238095238095,0.0595238095238095,0.119047619047619,0.0476190476190476,0.0595238095238095,0,0.0476190476190476,0.0833333333333333,0.0119047619047619
"random_seq_from_cds__NO_49944",78,-0.216410256410256,-0.317307692307692,-0.0653846153846154,-0.0653846153846154,-0.196153846153846,78,3,3,1,-0.196153846153846,0.0202564102564103,0.618181818181818,0.116883116883117,0.012987012987013,0.0779220779220779,0.0649350649350649,0.0779220779220779,0.051948051948052,0,0.038961038961039,0.038961038961039,0.0909090909090909,0.0649350649350649,0.0779220779220779,0.038961038961039,0.012987012987013,0.12987012987013,0.103896103896104
"random_seq_from_cds__NO_15611",86,-0.38906976744186,-0.486536107711138,-0.0924418604651163,-0.0924418604651163,-0.369767441860465,86,4,4,1,-0.369767441860465,0.0193023255813953,0.76,0.0117647058823529,0.0352941176470588,0.141176470588235,0.0235294117647059,0.0823529411764706,0.105882352941176,0.0117647058823529,0.0588235294117647,0.105882352941176,0.105882352941176,0.164705882352941,0.0235294117647059,0.0117647058823529,0.0235294117647059,0.0705882352941176,0.0235294117647059
"random_seq_from_cds__NO_45812",68,-0.387794117647059,-0.533613445378151,-0.124509803921569,-0.124509803921569,-0.373529411764706,68,3,3,1,-0.373529411764706,0.014264705882353,0.7,0.0447761194029851,0.104477611940299,0.0746268656716418,0,0.0746268656716418,0.0597014925373134,0,0.104477611940299,0.0746268656716418,0.0149253731343284,0.0895522388059701,0.0895522388059701,0.0298507462686567,0.0746268656716418,0.104477611940299,0.0597014925373134
"random_seq_from_cds__NO_47952",81,-0.219876543209877,-0.352648347272003,-0.0283950617283951,-0.0496913580246914,-0.198765432098765,81,7,4,1,-0.198765432098765,0.0211111111111111,0.563636363636364,0.1375,0.0375,0.075,0.05,0.0375,0.0125,0,0.1,0.0875,0.025,0.075,0.0375,0.0375,0.075,0.0875,0.125
"random_seq_from_cds__NO_55209",71,-0.269577464788732,-0.374896437448219,-0.0849765258215962,-0.127464788732394,-0.254929577464789,71,3,2,1,-0.254929577464789,0.0146478873239437,0.68,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0142857142857143,0.0142857142857143,0.0285714285714286,0.0857142857142857,0.114285714285714,0.0428571428571429,0.1,0.0857142857142857,0.0428571428571429,0.0285714285714286,0.142857142857143,0.0714285714285714
"random_seq_from_cds__NO_54254",89,-0.308426966292135,-0.392236976506639,-0.047940074906367,-0.0958801498127341,-0.287640449438202,89,6,3,1,-0.287640449438202,0.0207865168539326,0.733333333333333,0.0113636363636364,0.0681818181818182,0.113636363636364,0.0227272727272727,0.125,0.125,0.0454545454545455,0.0454545454545455,0.0795454545454545,0.0795454545454545,0.0795454545454545,0.0454545454545455,0,0.0681818181818182,0.0454545454545455,0.0454545454545455
"random_seq_from_cds__NO_20441",80,-0.2285,-0.304391891891892,-0.0354166666666667,-0.0708333333333333,-0.2125,80,6,3,1,-0.2125,0.016,0.69811320754717,0.0506329113924051,0.0632911392405063,0.0253164556962025,0.0506329113924051,0.0632911392405063,0.0253164556962025,0.0506329113924051,0.0759493670886076,0.0506329113924051,0.0506329113924051,0.0886075949367089,0.0632911392405063,0.0379746835443038,0.0632911392405063,0.0886075949367089,0.151898734177215
"random_seq_from_cds__NO_47957",97,-0.180618556701031,-0.280613527784762,-0.0399484536082474,-0.0399484536082474,-0.15979381443299,97,4,4,1,-0.15979381443299,0.0208247422680412,0.569444444444444,0.135416666666667,0.0416666666666667,0.0833333333333333,0.0625,0.0625,0.0208333333333333,0.0104166666666667,0.03125,0.0729166666666667,0.03125,0.0833333333333333,0.104166666666667,0.0520833333333333,0.0208333333333333,0.125,0.0625
"random_seq_from_cds__NO_45815",98,-0.326632653061224,-0.400560224089636,-0.0628571428571429,-0.0785714285714286,-0.314285714285714,98,5,4,1,-0.314285714285714,0.0123469387755102,0.784615384615385,0.0206185567010309,0.0309278350515464,0.0309278350515464,0.0618556701030928,0.0206185567010309,0.0618556701030928,0.0103092783505155,0.123711340206186,0.0618556701030928,0.0721649484536082,0.11340206185567,0.0618556701030928,0.0309278350515464,0.0515463917525773,0.154639175257732,0.0927835051546392
"random_seq_from_cds__NO_55206",82,-0.275,-0.391641879833432,-0.042479674796748,-0.0509756097560976,-0.254878048780488,82,6,5,1,-0.254878048780488,0.0201219512195122,0.650793650793651,0.0740740740740741,0.0493827160493827,0.0493827160493827,0.0987654320987654,0.0617283950617284,0.0617283950617284,0.037037037037037,0.0493827160493827,0.123456790123457,0.0246913580246914,0.0864197530864197,0.0493827160493827,0,0.0864197530864197,0.111111111111111,0.037037037037037
"random_seq_from_cds__NO_4216",86,-0.302674418604651,-0.432558139534884,-0.0715116279069768,-0.143023255813954,-0.286046511627907,86,4,2,1,-0.286046511627907,0.0166279069767442,0.661290322580645,0.0823529411764706,0.0588235294117647,0.0588235294117647,0.0470588235294118,0.0823529411764706,0.0705882352941176,0.0117647058823529,0.0588235294117647,0.0470588235294118,0.0705882352941176,0.0705882352941176,0.0705882352941176,0.0352941176470588,0.0235294117647059,0.117647058823529,0.0941176470588235
"random_seq_from_cds__NO_20459",82,-0.255609756097561,-0.392857142857143,-0.05,-0.0833333333333333,-0.25,82,5,3,1,-0.25,0.00560975609756098,0.636363636363636,0.037037037037037,0.0493827160493827,0.0493827160493827,0.0987654320987654,0.0864197530864197,0.0493827160493827,0,0.111111111111111,0.0864197530864197,0.037037037037037,0.0246913580246914,0.037037037037037,0.0246913580246914,0.111111111111111,0.111111111111111,0.0864197530864197
"random_seq_from_cds__NO_54240",84,-0.308571428571429,-0.363585434173669,-0.0401360544217687,-0.14047619047619,-0.280952380952381,84,7,2,1,-0.280952380952381,0.0276190476190477,0.772727272727273,0.036144578313253,0.0843373493975904,0.0240963855421687,0.036144578313253,0.0843373493975904,0.132530120481928,0.0602409638554217,0.072289156626506,0.0481927710843374,0.0843373493975904,0.0843373493975904,0.0481927710843374,0.0120481927710843,0.036144578313253,0.0963855421686747,0.0602409638554217
"random_seq_from_cds__NO_47968",90,-0.293777777777778,-0.504567901234568,-0.0542222222222222,-0.0903703703703704,-0.271111111111111,90,5,3,1,-0.271111111111111,0.0226666666666667,0.537313432835821,0.134831460674157,0.0561797752808989,0.112359550561798,0.0449438202247191,0.0561797752808989,0.0112359550561798,0,0.0786516853932584,0.101123595505618,0.0337078651685393,0.0449438202247191,0.0674157303370786,0.0561797752808989,0.0449438202247191,0.0898876404494382,0.0674157303370786
"random_seq_from_cds__NO_24968",97,-0.241030927835052,-0.349023908751919,-0.0455670103092784,-0.0569587628865979,-0.227835051546392,97,5,4,1,-0.227835051546392,0.0131958762886598,0.652777777777778,0.0520833333333333,0.0208333333333333,0.0833333333333333,0.104166666666667,0.125,0.0520833333333333,0.03125,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.0520833333333333,0.0520833333333333,0.0416666666666667,0.09375,0.0729166666666667,0.0520833333333333
"random_seq_from_cds__NO_49936",63,-0.383492063492063,-0.478080120937264,-0.182539682539683,-0.365079365079365,-0.365079365079365,63,2,1,1,-0.365079365079365,0.0184126984126984,0.763636363636364,0,0.0645161290322581,0.0967741935483871,0.0483870967741935,0.145161290322581,0.129032258064516,0.032258064516129,0.032258064516129,0.0483870967741935,0.129032258064516,0.112903225806452,0.032258064516129,0,0.032258064516129,0.0806451612903226,0.0161290322580645
"random_seq_from_cds__NO_4203",67,-0.39134328358209,-0.433155650319829,-0.118905472636816,-0.178358208955224,-0.356716417910448,67,3,2,1,-0.356716417910448,0.0346268656716418,0.823529411764706,0,0.0151515151515152,0.0909090909090909,0.0303030303030303,0.0909090909090909,0.136363636363636,0.0303030303030303,0.0757575757575758,0.0303030303030303,0.0606060606060606,0.106060606060606,0.106060606060606,0.0151515151515152,0.121212121212121,0.0606060606060606,0.0303030303030303
"random_seq_from_cds__NO_52108",69,-0.382753623188406,-0.510144927536232,-0.0618357487922705,-0.185507246376812,-0.371014492753623,69,6,2,1,-0.371014492753623,0.0117391304347826,0.727272727272727,0.0441176470588235,0.0441176470588235,0.0882352941176471,0.0441176470588235,0.0588235294117647,0.0735294117647059,0.0735294117647059,0.0294117647058824,0.117647058823529,0.0147058823529412,0.132352941176471,0.0882352941176471,0,0.0882352941176471,0.0588235294117647,0.0441176470588235
"random_seq_from_cds__NO_4207",94,-0.504468085106383,-0.540134071699213,-0.160283687943262,-0.160283687943262,-0.480851063829787,94,3,3,1,-0.480851063829787,0.0236170212765957,0.890243902439024,0,0.0537634408602151,0.043010752688172,0,0.043010752688172,0.0967741935483871,0.161290322580645,0.043010752688172,0.0537634408602151,0.150537634408602,0.150537634408602,0.0752688172043011,0,0.043010752688172,0.0752688172043011,0.010752688172043
"random_seq_from_cds__NO_4209",84,-0.33452380952381,-0.401515151515151,-0.0525793650793651,-0.0630952380952381,-0.31547619047619,84,6,5,1,-0.31547619047619,0.0190476190476191,0.785714285714286,0.0481927710843374,0.072289156626506,0.0481927710843374,0.0120481927710843,0.072289156626506,0.132530120481928,0.0602409638554217,0.120481927710843,0.0602409638554217,0.108433734939759,0.072289156626506,0.036144578313253,0,0.0602409638554217,0.0963855421686747,0
"random_seq_from_cds__NO_52103",90,-0.248333333333333,-0.363174603174603,-0.115555555555556,-0.115555555555556,-0.231111111111111,90,2,2,1,-0.231111111111111,0.0172222222222222,0.636363636363636,0.101123595505618,0.0449438202247191,0.0674157303370786,0.0561797752808989,0.0898876404494382,0.0561797752808989,0.0224719101123595,0.0561797752808989,0.0561797752808989,0.0786516853932584,0.0561797752808989,0.0449438202247191,0.0224719101123595,0.0561797752808989,0.0786516853932584,0.112359550561798
"random_seq_from_cds__NO_54231",95,-0.378842105263158,-0.458666666666667,-0.0517293233082707,-0.362105263157895,-0.362105263157895,95,7,1,1,-0.362105263157895,0.0167368421052632,0.789473684210526,0.0106382978723404,0.0531914893617021,0.074468085106383,0.0319148936170213,0.106382978723404,0.0638297872340425,0.074468085106383,0.0531914893617021,0.0531914893617021,0.0957446808510638,0.0957446808510638,0.0851063829787234,0,0.0957446808510638,0.0851063829787234,0.0212765957446809
"random_seq_from_cds__NO_20421",78,-0.265769230769231,-0.378236397748593,-0.0403846153846154,-0.0605769230769231,-0.242307692307692,78,6,4,1,-0.242307692307692,0.0234615384615385,0.640625,0.12987012987013,0.0779220779220779,0.0779220779220779,0.012987012987013,0.0649350649350649,0.038961038961039,0,0.0779220779220779,0.0909090909090909,0.051948051948052,0.142857142857143,0.051948051948052,0.012987012987013,0.012987012987013,0.116883116883117,0.038961038961039
"random_seq_from_cds__NO_19775",85,-0.203529411764706,-0.350664136622391,-0.0362352941176471,-0.0603921568627451,-0.181176470588235,85,5,3,1,-0.181176470588235,0.0223529411764706,0.516666666666667,0.130952380952381,0,0.0714285714285714,0.130952380952381,0.0714285714285714,0.0238095238095238,0.0238095238095238,0.0119047619047619,0.0833333333333333,0.0595238095238095,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.107142857142857
"random_seq_from_cds__NO_24951",81,-0.195432098765432,-0.274112654320988,-0.0358024691358025,-0.0447530864197531,-0.179012345679012,81,5,4,1,-0.179012345679012,0.0164197530864198,0.653061224489796,0.0375,0.0125,0.0625,0.0875,0.05,0.0375,0.0125,0.0875,0.0375,0.0375,0.05,0.0875,0.0875,0.1,0.0875,0.125
"random_seq_from_cds__NO_55223",70,-0.296714285714286,-0.412161172161172,-0.0554285714285714,-0.0923809523809524,-0.277142857142857,70,5,3,1,-0.277142857142857,0.0195714285714286,0.672413793103448,0.072463768115942,0.072463768115942,0.101449275362319,0.0289855072463768,0.072463768115942,0.0434782608695652,0.0289855072463768,0.072463768115942,0.101449275362319,0.072463768115942,0.101449275362319,0.0579710144927536,0.0289855072463768,0.0289855072463768,0.101449275362319,0.0144927536231884
"random_seq_from_cds__NO_55222",74,-0.325405405405405,-0.453378378378378,-0.0780405405405405,-0.156081081081081,-0.312162162162162,74,4,2,1,-0.312162162162162,0.0132432432432432,0.688524590163934,0.0410958904109589,0.0821917808219178,0.0958904109589041,0.0273972602739726,0.0684931506849315,0.10958904109589,0.0410958904109589,0.0821917808219178,0.10958904109589,0.0410958904109589,0.0684931506849315,0.0547945205479452,0.0410958904109589,0.0684931506849315,0.0547945205479452,0.0136986301369863
"random_seq_from_cds__NO_71885",65,-0.359230769230769,-0.415384615384615,-0.0830769230769231,-0.110769230769231,-0.332307692307692,65,4,3,1,-0.332307692307692,0.0269230769230769,0.8,0.015625,0.03125,0.0625,0.0625,0.03125,0.0625,0.109375,0.0625,0.109375,0.140625,0.140625,0.03125,0,0.03125,0.109375,0
"random_seq_from_cds__NO_34199",71,-0.232394366197183,-0.270422535211268,-0.0694835680751174,-0.104225352112676,-0.208450704225352,71,3,2,1,-0.208450704225352,0.023943661971831,0.770833333333333,0.0142857142857143,0.0428571428571429,0.0428571428571429,0.0571428571428571,0.0714285714285714,0.0428571428571429,0.0285714285714286,0.1,0.0714285714285714,0.0571428571428571,0.0857142857142857,0.0714285714285714,0,0.1,0.128571428571429,0.0857142857142857
"random_seq_from_cds__NO_49920",84,-0.333928571428571,-0.447089947089947,-0.0515873015873016,-0.0773809523809524,-0.30952380952381,84,6,4,1,-0.30952380952381,0.0244047619047619,0.692307692307692,0.072289156626506,0.0602409638554217,0.072289156626506,0.036144578313253,0.036144578313253,0.0240963855421687,0.036144578313253,0.108433734939759,0.120481927710843,0.0602409638554217,0.144578313253012,0,0.0120481927710843,0.0481927710843374,0.0843373493975904,0.0843373493975904
"random_seq_from_cds__NO_38600",82,-0.309878048780488,-0.396747967479675,-0.0991869918699187,-0.148780487804878,-0.297560975609756,82,3,2,1,-0.297560975609756,0.0123170731707317,0.75,0.0246913580246914,0.037037037037037,0.0987654320987654,0.037037037037037,0.0617283950617284,0.123456790123457,0.037037037037037,0.0987654320987654,0.0617283950617284,0.0740740740740741,0.0493827160493827,0.0740740740740741,0.037037037037037,0.0987654320987654,0.0740740740740741,0.0123456790123457
"random_seq_from_cds__NO_19788",78,-0.298846153846154,-0.343019943019943,-0.0689102564102564,-0.0918803418803419,-0.275641025641026,78,4,3,1,-0.275641025641026,0.0232051282051282,0.803571428571429,0.025974025974026,0.051948051948052,0.051948051948052,0.012987012987013,0.038961038961039,0.0649350649350649,0.038961038961039,0.155844155844156,0.051948051948052,0.103896103896104,0.0649350649350649,0.0649350649350649,0.025974025974026,0.0649350649350649,0.12987012987013,0.051948051948052
"random_seq_from_cds__NO_24946",78,-0.32474358974359,-0.435272045028143,-0.102564102564103,-0.102564102564103,-0.307692307692308,78,3,3,1,-0.307692307692308,0.017051282051282,0.706896551724138,0.025974025974026,0.025974025974026,0.0779220779220779,0.0779220779220779,0.051948051948052,0.103896103896104,0.025974025974026,0.0779220779220779,0.0649350649350649,0.0779220779220779,0.0909090909090909,0.038961038961039,0.0649350649350649,0.051948051948052,0.0779220779220779,0.0649350649350649
"random_seq_from_cds__NO_54221",73,-0.265205479452055,-0.294054211600117,-0.0808219178082192,-0.121232876712329,-0.242465753424658,73,3,2,1,-0.242465753424658,0.0227397260273973,0.824561403508772,0.0138888888888889,0.0416666666666667,0.0694444444444444,0.0138888888888889,0.0972222222222222,0.138888888888889,0.0555555555555556,0.125,0.0138888888888889,0.138888888888889,0.0277777777777778,0.0555555555555556,0.0138888888888889,0.0833333333333333,0.0833333333333333,0.0277777777777778
